x_,y_,t_,id
413949.58681055816,4254362.245593581,2014-10-16T11:00:56Z,F53
421571.2663792592,4273779.544019074,2014-10-16T11:01:00Z,F64
409216.0465478571,4260276.537256508,2014-10-16T15:01:24Z,C028
421728.94666939415,4272716.68999139,2014-10-16T15:01:26Z,F64
413947.60319377726,4255516.370719078,2014-10-16T19:02:16Z,F53
421927.3567125137,4271808.967301042,2014-10-16T23:01:20Z,F64
409162.1753197871,4260164.091588204,2014-10-16T23:03:05Z,C028
421660.44442744675,4270978.262261979,2014-10-17T03:01:06Z,F64
412502.46353591455,4257138.212246252,2014-10-17T03:01:18Z,F53
409675.18579568336,4260562.768724938,2014-10-17T07:01:02Z,C028
412502.89031336503,4257146.1536108665,2014-10-17T07:01:06Z,F53
421618.08883229294,4270569.694147559,2014-10-17T07:01:48Z,F64
421217.9047480612,4269819.225430313,2014-10-17T11:01:00Z,F64
413169.66640923824,4257074.588423062,2014-10-17T11:01:19Z,F53
421097.60078247957,4268392.417420595,2014-10-17T15:01:03Z,F64
413646.80432106805,4257127.255808494,2014-10-17T15:01:35Z,F53
413649.52809631336,4257123.309042248,2014-10-17T19:01:19Z,F53
420663.76957248047,4268051.255500724,2014-10-17T19:01:30Z,F64
420548.8935237433,4267959.051807275,2014-10-17T23:01:17Z,F64
413602.3779614082,4256976.926130289,2014-10-17T23:01:18Z,F53
413551.4089976984,4258448.259024734,2014-10-18T03:01:10Z,F53
419132.880747573,4267093.553018961,2014-10-18T03:01:42Z,F64
414289.48221629095,4261101.137892988,2014-10-18T07:00:50Z,F53
402784.53022654203,4261667.722632304,2014-10-18T07:01:00Z,C028
417964.23457419546,4267225.9011722235,2014-10-18T07:01:08Z,F64
414712.73432130483,4261502.674607373,2014-10-18T11:00:59Z,F53
417556.25447331916,4267111.032743753,2014-10-18T11:01:16Z,F64
415242.9472485929,4261377.201862542,2014-10-18T15:00:57Z,F53
417174.17107631755,4267143.550761466,2014-10-18T15:01:25Z,F64
405869.06049188087,4260521.227686597,2014-10-18T15:02:11Z,C028
417143.3435136804,4267114.682386887,2014-10-18T19:01:20Z,F64
415853.5593765164,4261247.314540177,2014-10-18T19:01:36Z,F53
415848.27322251775,4261253.884326516,2014-10-18T23:00:59Z,F53
417245.38419036585,4267124.348100593,2014-10-18T23:01:16Z,F64
416592.8425856928,4266859.319334048,2014-10-19T03:01:01Z,F64
416277.7414832527,4262278.0849028155,2014-10-19T03:01:01Z,F53
416750.18167343,4261751.366097983,2014-10-19T07:02:01Z,F53
415299.611389347,4267543.718888851,2014-10-19T07:02:07Z,F64
403794.8269352052,4261952.735908183,2014-10-19T07:03:09Z,C028
416345.0910834478,4269115.371251205,2014-10-19T11:00:49Z,F64
416551.7019000626,4261632.362686021,2014-10-19T11:02:07Z,F53
415914.1546700826,4270547.538395209,2014-10-19T15:01:14Z,F64
416669.77088075574,4261256.311083594,2014-10-19T15:01:22Z,F53
416675.1109951542,4261270.838013716,2014-10-19T19:00:51Z,F53
415862.2614059516,4270585.727886488,2014-10-19T19:01:48Z,F64
416677.2748069162,4261857.240215747,2014-10-19T23:01:12Z,F53
416688.2819984816,4271055.736134457,2014-10-19T23:01:54Z,F64
405722.4748626463,4260246.43831659,2014-10-19T23:03:10Z,C028
416702.7536583879,4261662.821393732,2014-10-20T03:01:00Z,F53
416868.13575600804,4273818.170552698,2014-10-20T03:01:43Z,F64
409849.3545958535,4260347.308783195,2014-10-20T07:00:55Z,C028
416628.1516393057,4261934.602056444,2014-10-20T07:01:00Z,F53
418092.66540302284,4277186.191799149,2014-10-20T07:01:42Z,F64
416663.32173911814,4261937.044444414,2014-10-20T11:00:58Z,F53
419307.82788362657,4277790.762087751,2014-10-20T11:01:59Z,F64
420222.9479681413,4276578.991537989,2014-10-20T15:01:09Z,F64
407596.49133051164,4261487.031926427,2014-10-20T15:01:18Z,C028
417054.4961141333,4261594.911465486,2014-10-20T15:01:21Z,F53
420363.97374446585,4276054.354957909,2014-10-20T19:01:07Z,F64
417040.6360260794,4261563.481809224,2014-10-20T19:01:29Z,F53
406650.49973179935,4261582.646688015,2014-10-20T23:01:02Z,C028
417046.6822670813,4261557.814979117,2014-10-20T23:01:18Z,F53
420361.140008023,4276060.886532037,2014-10-20T23:01:30Z,F64
420852.06438456324,4274972.09677789,2014-10-21T03:01:06Z,F64
416655.7119589965,4261922.263648551,2014-10-21T03:01:09Z,F53
420804.3253918814,4275047.47983046,2014-10-21T07:01:03Z,F64
416632.0375138397,4261919.146967563,2014-10-21T07:01:18Z,F53
404864.0288064991,4259059.663845717,2014-10-21T07:02:00Z,C028
416647.4074641099,4261917.844236525,2014-10-21T11:00:58Z,F53
420806.25743462954,4275054.4300920935,2014-10-21T11:01:01Z,F64
408872.325661497,4261950.21316773,2014-10-21T15:00:59Z,C028
417035.04659001663,4261561.874936866,2014-10-21T15:01:14Z,F53
420399.15105299815,4274615.917302204,2014-10-21T15:01:35Z,F64
417033.4058074133,4261562.602151108,2014-10-21T19:01:44Z,F53
420286.4240236331,4274735.543208413,2014-10-21T19:01:50Z,F64
416657.91843450296,4261932.350742952,2014-10-21T23:01:21Z,F53
420264.4674637726,4274815.999357988,2014-10-21T23:01:42Z,F64
405664.171111246,4262164.147127587,2014-10-21T23:01:44Z,C028
416651.507560752,4261916.2923604315,2014-10-22T03:00:54Z,F53
420894.38988934737,4275303.989742547,2014-10-22T03:00:55Z,F64
420803.91833166586,4275052.966171696,2014-10-22T07:00:59Z,F64
416550.8975186109,4261631.327865887,2014-10-22T07:00:59Z,F53
404143.88618404436,4260697.869909163,2014-10-22T07:01:58Z,C028
416571.03641441435,4261569.426339499,2014-10-22T11:00:54Z,F53
420866.2360029949,4274974.486715877,2014-10-22T11:01:10Z,F64
417164.1706935181,4260705.653949631,2014-10-22T15:01:25Z,F53
404851.5270682911,4259000.037440761,2014-10-22T15:01:49Z,C028
420327.94930641353,4275130.543780302,2014-10-22T23:01:18Z,F64
417222.47105177795,4260652.549516152,2014-10-22T23:02:07Z,F53
416638.6336759707,4261917.78000945,2014-10-23T03:00:57Z,F53
420883.13560444524,4275068.6172420755,2014-10-23T03:01:20Z,F64
420896.04155027756,4275046.071942467,2014-10-23T07:00:49Z,F64
416627.32557413855,4261645.237959185,2014-10-23T07:00:57Z,F53
409695.71770095546,4259183.530018407,2014-10-23T07:01:48Z,C028
420708.2966706862,4274412.407020185,2014-10-23T11:00:57Z,F64
414427.05187092925,4260636.515639297,2014-10-23T15:00:49Z,F53
420094.25330571516,4273114.865277375,2014-10-23T15:01:52Z,F64
414434.5606067182,4260638.044779248,2014-10-23T19:01:34Z,F53
419783.56797597924,4273203.273856628,2014-10-23T19:01:43Z,F64
414424.8190746105,4260626.706817738,2014-10-23T23:01:18Z,F53
407117.1928892365,4262272.193600155,2014-10-23T23:03:08Z,C028
413406.5707975025,4260007.49257285,2014-10-24T03:01:25Z,F53
419993.6422790326,4272082.269225862,2014-10-24T07:01:18Z,F64
404665.3195330198,4261719.484326066,2014-10-24T07:02:30Z,C028
420451.51397333504,4270966.263781597,2014-10-24T11:02:26Z,F64
419535.90322709334,4270773.251524499,2014-10-24T15:00:54Z,F64
413593.5512928154,4258493.0623134095,2014-10-24T15:01:58Z,F53
405555.97265510075,4259156.408140282,2014-10-24T15:02:40Z,C028
419454.7170366135,4270770.739019825,2014-10-24T19:01:20Z,F64
413620.6352970887,4258478.710181576,2014-10-24T19:01:33Z,F53
413632.2121437771,4258486.753661372,2014-10-24T23:01:08Z,F53
419940.3514995146,4271292.397897213,2014-10-24T23:02:05Z,F64
406174.38395007607,4258797.984011764,2014-10-24T23:02:34Z,C028
415765.8583449526,4257999.238546885,2014-10-25T03:00:59Z,F53
420354.35387586686,4271531.51696482,2014-10-25T03:01:40Z,F64
408341.7192092608,4260696.420341532,2014-10-25T07:00:56Z,C028
420351.85897833714,4271539.010584934,2014-10-25T07:01:20Z,F64
417078.99414454,4258324.389594916,2014-10-25T07:02:24Z,F53
416861.1623427237,4256878.64513847,2014-10-25T11:00:53Z,F53
420353.2164476331,4271519.631510684,2014-10-25T11:00:57Z,F64
420318.6530854394,4271539.618712896,2014-10-25T15:01:11Z,F64
415173.95938644203,4256699.168672325,2014-10-25T15:01:58Z,F53
407853.60831275693,4261182.652987018,2014-10-25T15:01:58Z,C028
420338.5006071885,4271523.573467194,2014-10-25T19:01:12Z,F64
420344.71659487387,4271525.886486569,2014-10-25T23:00:57Z,F64
415120.07604812906,4256683.745744641,2014-10-25T23:01:18Z,F53
408514.3033491035,4261363.084411055,2014-10-25T23:02:41Z,C028
415865.9676672554,4255893.298488752,2014-10-26T03:01:50Z,F53
415861.6984431038,4255894.819149405,2014-10-26T07:01:18Z,F53
415862.57718669827,4255897.8950949535,2014-10-26T11:01:01Z,F53
420351.3799371667,4271522.390937836,2014-10-26T11:01:03Z,F64
420345.87834939564,4271530.591458806,2014-10-26T15:01:09Z,F64
415865.4299514473,4255890.285560007,2014-10-26T15:02:34Z,F53
415863.5554152037,4255889.628220617,2014-10-26T19:01:29Z,F53
420338.7679650362,4271524.181180607,2014-10-26T19:01:32Z,F64
415876.71257693216,4255902.619043599,2014-10-26T23:00:53Z,F53
420350.42435560783,4271518.272092409,2014-10-26T23:01:06Z,F64
406174.8550619808,4259735.199608869,2014-10-26T23:01:52Z,C028
415907.29825063486,4255841.350904652,2014-10-27T03:01:06Z,F53
420321.86121284106,4271548.642516474,2014-10-27T03:01:21Z,F64
415860.157799587,4255896.044913981,2014-10-27T07:00:59Z,F53
406130.23087461595,4259766.296338769,2014-10-27T07:01:00Z,C028
420324.6941927827,4271554.107682282,2014-10-27T07:01:22Z,F64
415905.288248945,4255832.749070248,2014-10-27T11:01:12Z,F53
420332.18030453054,4271557.140492228,2014-10-27T11:01:21Z,F64
406026.51154776604,4260225.794031774,2014-10-27T15:00:59Z,C028
420346.5984556653,4271525.057613255,2014-10-27T15:01:13Z,F64
415870.10110200744,4255892.145473101,2014-10-27T15:01:48Z,F53
415864.90727788757,4255891.212132847,2014-10-27T19:01:23Z,F53
420342.89197148615,4271532.463420609,2014-10-27T23:01:08Z,F64
415861.9194965629,4255867.572152418,2014-10-27T23:01:50Z,F53
407218.93331547925,4262912.685711346,2014-10-27T23:03:05Z,C028
415911.14994010516,4255839.1243879115,2014-10-28T03:01:06Z,F53
420332.3538086511,4271574.562220402,2014-10-28T03:01:21Z,F64
420359.85583637527,4271530.352414009,2014-10-28T07:00:54Z,F64
415913.39230152906,4255851.585768239,2014-10-28T07:01:27Z,F53
405366.0487890355,4260540.1815766245,2014-10-28T07:01:30Z,C028
415873.28093347105,4255884.932033601,2014-10-28T11:00:59Z,F53
420333.3512303717,4271548.77223092,2014-10-28T11:01:00Z,F64
415868.8628981657,4255891.414888272,2014-10-28T15:01:08Z,F53
404448.20346489304,4260470.047868187,2014-10-28T15:03:05Z,C028
403278.3700856935,4260687.098124311,2014-10-28T23:01:01Z,C028
420353.621170102,4271535.785792521,2014-10-28T23:01:21Z,F64
415866.2427676673,4255891.231450673,2014-10-28T23:01:44Z,F53
415901.19401750446,4255841.825363518,2014-10-29T03:01:03Z,F53
420768.4455512762,4271684.593126848,2014-10-29T03:01:05Z,F64
415884.0651977351,4255913.029377075,2014-10-29T07:01:24Z,F53
404941.2638723338,4261012.132560869,2014-10-29T07:01:47Z,C028
420343.2080914385,4271524.847221998,2014-10-29T07:01:52Z,F64
420318.2527149497,4271467.942384274,2014-10-29T11:01:12Z,F64
415907.35487010056,4255851.770985663,2014-10-29T11:01:36Z,F53
403950.9832123326,4259576.229497247,2014-10-29T15:01:18Z,C028
419947.47492418665,4272023.324838028,2014-10-29T15:01:21Z,F64
414597.10737844947,4255847.925298576,2014-10-29T15:01:51Z,F53
414416.8606084682,4255529.118892593,2014-10-29T19:01:59Z,F53
404327.4790066534,4259831.70967265,2014-10-29T23:01:52Z,C028
415865.78636893805,4255894.321367962,2014-10-29T23:02:06Z,F53
407637.52294514945,4261194.914002793,2014-10-30T07:00:59Z,C028
419666.3564107929,4272156.386886767,2014-10-30T07:01:12Z,F64
415906.540021913,4255857.306127331,2014-10-30T07:01:42Z,F53
419559.08304140205,4272325.452210027,2014-10-30T11:00:57Z,F64
415916.4513409289,4255842.831040715,2014-10-30T11:01:00Z,F53
414459.6595398538,4255602.740485385,2014-10-30T15:01:29Z,F53
419282.379162329,4272549.086261481,2014-10-30T15:01:34Z,F64
414398.16035228374,4255610.608455707,2014-10-30T19:01:36Z,F53
415865.84532382403,4255874.100867832,2014-10-30T23:00:59Z,F53
