id,y,x,t
N17003,40.09529,-94.53516,3/4/2017 2:01
N17003,40.09734,-94.53914,3/4/2017 7:01
N17003,40.09796,-94.54595,3/4/2017 12:01
N17003,40.09881,-94.54683,3/4/2017 17:02
N17003,40.10253,-94.52644,3/4/2017 22:01
N17003,40.10243,-94.53259,3/5/2017 3:01
N17003,40.10146,-94.53907,3/5/2017 8:01
N17003,40.10153,-94.53913,3/5/2017 13:01
N17003,40.10195,-94.54147,3/5/2017 18:01
N17003,40.10265,-94.53899,3/5/2017 23:01
N17003,40.10419,-94.53475,3/6/2017 4:01
N17003,40.10035,-94.54552,3/6/2017 9:01
N17003,40.10005,-94.54679,3/6/2017 14:01
N17003,40.09853,-94.54238,3/7/2017 0:02
N17003,40.09589,-94.54073,3/7/2017 5:01
N17003,40.09915,-94.55301,3/7/2017 10:01
N17003,40.09965,-94.55338,3/7/2017 15:01
N17003,40.09438,-94.54673,3/7/2017 20:01
N17003,40.09587,-94.54679,3/8/2017 1:01
N17003,40.09387,-94.55066,3/8/2017 6:01
N17003,40.09886,-94.55065,3/8/2017 11:01
N17003,40.09999,-94.55028,3/8/2017 16:01
N17003,40.09396,-94.55625,3/8/2017 21:02
N17003,40.09821,-94.54748,3/9/2017 2:01
N17003,40.09764,-94.55333,3/9/2017 7:01
N17003,40.09783,-94.55281,3/9/2017 12:01
N17003,40.09783,-94.55268,3/9/2017 17:01
N17003,40.09547,-94.54898,3/9/2017 22:01
N17003,40.0961,-94.55034,3/10/2017 3:02
N17003,40.09785,-94.55154,3/10/2017 8:01
N17003,40.09804,-94.55318,3/10/2017 13:01
N17003,40.09646,-94.54969,3/10/2017 18:01
N17003,40.09545,-94.55065,3/10/2017 23:01
N17003,40.0955,-94.55078,3/11/2017 4:01
N17003,40.09926,-94.54649,3/11/2017 9:01
N17003,40.09854,-94.54476,3/11/2017 14:01
N17003,40.09821,-94.53862,3/11/2017 19:01
N17003,40.09557,-94.54106,3/12/2017 0:01
N17003,40.09573,-94.54125,3/12/2017 5:01
N17003,40.09485,-94.54439,3/12/2017 10:01
N17003,40.09614,-94.54447,3/12/2017 15:01
N17003,40.0952,-94.5422,3/12/2017 20:01
N17003,40.09533,-94.54214,3/13/2017 1:01
N17003,40.0956,-94.54321,3/13/2017 6:01
N17003,40.09656,-94.545,3/13/2017 11:01
N17003,40.09799,-94.5446,3/13/2017 16:01
N17003,40.09671,-94.5462,3/13/2017 21:01
N17003,40.09526,-94.54527,3/14/2017 2:01
N17003,40.09775,-94.54514,3/14/2017 7:01
N17003,40.09924,-94.5466,3/14/2017 12:01
N17003,40.10074,-94.54674,3/14/2017 17:01
N17003,40.09527,-94.54635,3/14/2017 22:01
N17003,40.09712,-94.55185,3/15/2017 3:01
N17003,40.09871,-94.55179,3/15/2017 8:01
N17003,40.09982,-94.55097,3/15/2017 13:01
N17003,40.09529,-94.55082,3/15/2017 18:01
N17003,40.09461,-94.54209,3/15/2017 23:01
N17003,40.09467,-94.54155,3/16/2017 4:01
N17003,40.10035,-94.54418,3/16/2017 9:01
N17003,40.10009,-94.54682,3/16/2017 14:01
N17003,40.09467,-94.53907,3/16/2017 19:01
N17003,40.0903,-94.53408,3/17/2017 0:01
N17003,40.09573,-94.53432,3/17/2017 5:01
N17003,40.09617,-94.54479,3/17/2017 10:01
N17003,40.09671,-94.54498,3/17/2017 15:01
